time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
3.119956,0.002004,0.000894,-0.001087
3.124956,0.002026,0.000816,-0.001014
3.129956,0.002041,0.000766,-0.000961
3.134955,0.002042,0.000728,-0.000844
3.139955,0.002034,0.000718,-0.000770
3.144954,0.002015,0.000683,-0.000672
3.149954,0.002002,0.000650,-0.000628
3.154954,0.001981,0.000626,-0.000593
3.159953,0.001968,0.000609,-0.000578
3.164953,0.001948,0.000588,-0.000572
3.169953,0.001938,0.000570,-0.000555
3.174952,0.001927,0.000536,-0.000526
3.179952,0.001923,0.000501,-0.000498
3.184952,0.001924,0.000440,-0.000453
3.189951,0.001929,0.000402,-0.000438
3.194951,0.001941,0.000354,-0.000445
3.199950,0.001955,0.000299,-0.000442
3.204950,0.001975,0.000214,-0.000415
3.209950,0.001965,0.000161,-0.000410
3.214949,0.001917,0.000116,-0.000377
3.219949,0.001872,0.000085,-0.000356
